Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Latitude,Longitude,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
5100099112,EHB4149,NY,PAS,01/01/2018,7,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0355P,,ST,,,RICHMOND RD (E/B) @,NEW DORP LANE,40.3756912,-120.6224424,0,1111,D,T,,,,GY,,2007,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100099100,FGW9325,NY,PAS,01/01/2018,7,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0355P,,BK,,,CONEY ISLAND AVE (S/,B) @ AVE P,40.6136033,-73.9631313,0,1111,D,T,,,,GY,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100099082,FZL7988,NY,PAS,01/01/2018,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0352P,,QN,,,NORTHERN BLVD (E/B),@ DOUGLASTON PKWY,39.358076,-76.53787299999999,0,1111,D,T,,,,MR,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100099069,T701099C,NY,OMT,01/01/2018,7,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0352P,,BX,,,CROSS BRONX EXPWY (W,/B) @ ROSEDALE AVE,40.8331301,-73.8603449,0,1111,D,T,,,,BL,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100099057,ZKR6997,PA,PAS,01/01/2018,7,TK,CHEVR,V,0,0,0,0,,0,0,0,,,0351P,,BK,,,CADMAN PLAZA (E/B) @,PROSPECT ST,40.6977943,-73.98993519999999,0,1111,D,T,,,,,,2002,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100099045,X20EAK,NJ,PAS,01/01/2018,7,4 DR,HONDA,V,0,0,0,0,,0,0,0,,,0351P,,MN,,,12TH AVE (N/B) @ W 5,7TH ST,40.7560399,-74.0028277,0,1111,D,T,,,,RD,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100099021,VIGOR,NY,SRF,01/01/2018,7,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0348P,,QN,,,EB GRAND CENTRAL PKW,Y SVC RD @ 72ND RD,40.7288282,-73.8394849,0,1111,D,T,,,,BK,,2018,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100099010,T716150C,NY,OMT,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0346P,,QN,,,ASTORIA BLVD S (E/B),@ 77TH ST,40.7546377,-73.9747113,0,1111,D,T,,,,BK,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098971,FPY3968,NY,PAS,01/01/2018,7,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0345P,,ST,,,RICHMOND RD (E/B) @,NEW DORP LANE,40.3756912,-120.6224424,0,1111,D,T,,,,GY,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098922,CVU3727,NY,PAS,01/01/2018,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0341P,,BX,,,BRUCKNER BLVD (E/B),@ BRONX RIVER PKWY R,40.8239534,-73.87712979999999,0,1111,D,T,,,,BK,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098880,23339MK,NY,COM,01/01/2018,7,VAN,CHEVR,V,0,0,0,0,,0,0,0,,,0337P,,QN,,,ASTORIA BLVD (W/B) @,STEINWAY ST,40.7634541,-73.8804084,0,1111,D,T,,,,WH,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098879,AGX9262,NY,PAS,01/01/2018,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0335P,,QN,,,WHITESTONE EXPWY SVC,RD (N/B) @ 20TH AVE,40.781917,-73.824456,0,1111,D,T,,,,GY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098867,S38HJA,NJ,PAS,01/01/2018,7,4 DR,HYUND,V,0,0,0,0,,0,0,0,,,0335P,,ST,,,ARTHUR KILL RD (W/B),@ RICHMOND AVE,40.554863,-74.21480199999999,0,1111,D,T,,,,BK,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098843,DZS6323,NY,PAS,01/01/2018,7,4DSD,VOLVO,V,0,0,0,0,,0,0,0,,,0332P,,BK,,,EASTERN PKWY (W/B) @,HOWARD AVE,40.6695162,-73.9552655,0,1111,D,T,,,,GY,,2007,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098820,T736976C,NY,OMT,01/01/2018,7,4DSD,HONDA,V,0,15510,0,0,,0,0,0,,,0331P,,BK,,,HAMILTON AVE (N/B) @,CLINTON ST,39.342247,-76.545557,0,1111,D,T,,,,BK,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098806,DTG9720,NY,PAS,01/01/2018,7,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0331P,,BX,,,BRUCKNER BLVD (E/B),@ BRONX RIVER PKWY R,40.8239534,-73.87712979999999,0,1111,D,T,,,,BK,,0,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098776,9C31H,NY,OMT,01/01/2018,7,TAXI,TOYOT,V,0,0,0,0,,0,0,0,,,0329P,,MN,,,8TH AVE (N/B) @ 57TH,ST,40.7521936,-73.993451,0,1111,D,T,,,,YW,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098740,T725612C,NY,OMT,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0325P,,MN,,,WEST ST (S/B) @ 14TH,STREET,44.6078857,-79.4190249,0,1111,D,T,,,,BK,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098727,BGJ6775,NY,PAS,01/01/2018,7,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0322P,,BX,,,CROSS BRONX EXPWY (W,/B) @ ROSEDALE AVE,40.8331301,-73.8603449,0,1111,D,T,,,,BK,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098715,T631171C,NY,OMT,01/01/2018,7,4DSD,LINCO,V,0,0,0,0,,0,0,0,,,0321P,,BX,,,GUN HILL ROAD (W/B),@ EASTCHESTER RD,40.8832545,-73.8844113,0,1111,D,T,,,,GY,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098697,S11JJR,NJ,PAS,01/01/2018,7,4 DR,CHEVR,V,0,0,0,0,,0,0,0,,,0318P,,BK,,,SURF AVE (W/B) @ W 5,TH ST,34.1939104,-77.8062781,0,1111,D,T,,,,GY,,2018,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098685,R44JCR,NJ,PAS,01/01/2018,7,4 DR,NISSA,V,0,0,0,0,,0,0,0,,,0317P,,BK,,,PENNSYLVANIA AVE (N/,B) @ LINDEN BLVD,44.9950345,-93.3753048,0,1111,D,T,,,,SL,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098661,382EMT,NY,SRF,01/01/2018,7,SUBN,DODGE,V,0,0,0,0,,0,0,0,,,0315P,,MN,,,12TH AVE (N/B) @ W 5,7TH ST,40.7560399,-74.0028277,0,1111,D,T,,,,BK,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098648,W335KB,NY,PAS,01/01/2018,7,PICK,TOYOT,V,0,0,0,0,,0,0,0,,,0314P,,BK,,,CONEY ISLAND AVE (S/,B) @ DORCHESTER RD,40.6136033,-73.9631313,0,1111,D,T,,,,RD,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098636,FHP5264,NY,PAS,01/01/2018,7,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0313P,,BX,,,BRUCKNER BLVD (E/B),@ BRONX RIVER PKWY R,40.8239534,-73.87712979999999,0,1111,D,T,,,,BL,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098600,AM37877,CT,PAS,01/01/2018,7,4D,TOYOT,V,0,0,0,0,,0,0,0,,,0312P,,QN,,,ASTORIA BLVD S (E/B),@ 77TH ST,40.7546377,-73.9747113,0,1111,D,T,,,,GRY,,1999,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098582,N31FRJ,NJ,PAS,01/01/2018,7,4 DR,HONDA,V,0,15510,0,0,,0,0,0,,,0311P,,BK,,,HAMILTON AVE (N/B) @,CLINTON ST,39.342247,-76.545557,0,1111,D,T,,,,BK,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098521,AC16762,CT,PAS,01/01/2018,7,4D,TOYOT,V,0,0,0,0,,0,0,0,,,0304P,,BX,,,BOSTON RD (E/B) @ PE,LHAM PKWY,40.8553279,-73.8639594,0,1111,D,T,,,,GRY,,2003,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098508,11DVM,NY,SRF,01/01/2018,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0303P,,QN,,,EB GRAND CENTRAL PKW,Y SVC RD @ 72ND RD,40.7288282,-73.8394849,0,1111,D,T,,,,RD,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098491,T729817C,NY,OMT,01/01/2018,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0301P,,QN,,,BORDEN AVE (E/B) @ G,REENPOINT AVE,40.7368297,-73.93159849999999,0,1111,D,T,,,,BL,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098480,T678153C,NY,OMT,01/01/2018,7,SUBN,CHEVR,V,0,15510,0,0,,0,0,0,,,0301P,,BK,,,HAMILTON AVE (N/B) @,CLINTON ST,39.342247,-76.545557,0,1111,D,T,,,,BK,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098478,CJP8864,NY,PAS,01/01/2018,7,4DSD,SUBAR,V,0,0,0,0,,0,0,0,,,0259P,,QN,,,WHITESTONE EXPWY SVC,RD (N/B) @ 20TH AVE,40.781917,-73.824456,0,1111,D,T,,,,BL,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098454,AXH3701,NY,PAS,01/01/2018,7,SUBN,LEXUS,V,0,0,0,0,,0,0,0,,,0257P,,BK,,,REMSEN AVE (N/B) @ W,INTHROP ST,40.6467466,-73.91323109999999,0,1111,D,T,,,,WH,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098429,T713135C,NY,OMT,01/01/2018,7,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0253P,,QN,,,VAN WYCK EXP SVC RD,(N/B) @ ROCKAWAY BLV,40.652515,-73.806961,0,1111,D,T,,,,BL,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098417,ZUX652,LA,PAS,01/01/2018,7,CP,MINI,V,0,0,0,0,,0,0,0,,,0252P,,BX,,,BOSTON RD (E/B) @ PE,LHAM PKWY,40.8553279,-73.8639594,0,1111,D,T,,,,SIL,,2006,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098405,R70EDN,NJ,PAS,01/01/2018,7,4 DR,ME/BE,V,0,0,0,0,,0,0,0,,,0249P,,BX,,,E FORDHAM RD (E/B) @,BOSTON RD,40.8595729,-73.8874273,0,1111,D,T,,,,GRY,,2006,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098387,DUVI,NY,SRF,01/01/2018,7,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0245P,,MN,,,WEST ST (S/B) @ 14TH,STREET,44.6078857,-79.4190249,0,1111,D,T,,,,BK,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098375,R60GKV,NJ,PAS,01/01/2018,7,4 DR,TESLA,V,0,15510,0,0,,0,0,0,,,0245P,,BK,,,HAMILTON AVE (N/B) @,CLINTON ST,39.342247,-76.545557,0,1111,D,T,,,,SL,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098363,871RTP,NY,ORG,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0244P,,QN,,,BEACH CHANNEL DR (W/,B) @ B 140TH ST,40.5885234,-73.8173535,0,1111,D,T,,,,GY,,2007,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098351,T745653C,NY,OMT,01/01/2018,7,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0243P,,MN,,,WEST ST (S/B) @ 14TH,STREET,44.6078857,-79.4190249,0,1111,D,T,,,,BL,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098340,ECAR4048,NY,OMT,01/01/2018,7,4DSD,CADIL,V,0,0,0,0,,0,0,0,,,0243P,,QN,,,23RD AVE (E/B) @ 94T,H ST,47.6286479,-122.3023503,0,1111,D,T,,,,BK,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098338,FTZ3595,NY,PAS,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0242P,,QN,,,WB N CONDUIT AVE @ V,AN WYCK EXPWY SB / E,40.6669522,-73.79574869999999,0,1111,D,T,,,,WH,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098326,DJTT64,FL,PAS,01/01/2018,7,UT,ME/BE,V,0,0,0,0,,0,0,0,,,0241P,,QN,,,SO CONDUIT AVE (E/B),@ 89TH ST,40.66564169999999,-73.793944,0,1111,D,T,,,,GRY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098272,T652122C,NY,OMT,01/01/2018,7,SUBN,INFIN,V,0,0,0,0,,0,0,0,,,0236P,,ST,,,RICHMOND AVE (N/B) @,ARTHUR KILL RD,29.728148,-95.5563765,0,1111,D,T,,,,BK,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098259,421NF1,MA,PAS,01/01/2018,7,SD,TOYOT,V,0,0,0,0,,0,0,0,,,0235P,,QN,,,ASTORIA BLVD S (E/B),@ 77TH ST,40.7546377,-73.9747113,0,1111,D,T,,,,,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098235,T686169C,NY,OMT,01/01/2018,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0234P,,MN,,,5TH AVE (S/B) @ 40TH,ST,37.5154459,-95.1656689,0,1111,D,T,,,,BKBL,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098211,FFC5644,NY,PAS,01/01/2018,7,4DSD,SUBAR,V,0,15510,0,0,,0,0,0,,,0231P,,BK,,,HAMILTON AVE (N/B) @,CLINTON ST,39.342247,-76.545557,0,1111,D,T,,,,GY,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098200,T493958C,NY,OMT,01/01/2018,7,SUBN,LINCO,V,0,0,0,0,,0,0,0,,,0231P,,QN,,,EB GRAND CENTRAL PKW,Y SVC RD @ 72ND RD,40.7288282,-73.8394849,0,1111,D,T,,,,BK,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098181,T703425C,NY,OMT,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0230P,,BK,,,EB ATLANTIC AVE @ RO,CKAWAY AVE,40.6656369,-73.9096988,0,1111,D,T,,,,BK,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098170,DDR7211,NY,PAS,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0230P,,BX,,,BRONXDALE AVE (W/B),@ CRUGER AVE,40.84784450000001,-73.8601178,0,1111,D,T,,,,GY,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098168,FBF4190,NY,PAS,01/01/2018,7,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0229P,,ST,,,SB RICHMOND RD @ NAR,ROWS RD N,42.47584699999999,-71.7608,0,1111,D,T,,,,GY,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098144,T759878C,NY,OMT,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0229P,,QN,,,HORACE HARDING EXPWY,(E/B) @ 173RD ST,40.745377,-73.77248449999999,0,1111,D,T,,,,GY,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098119,DDM6024,NY,PAS,01/01/2018,7,4DSD,NISSA,V,0,13610,0,0,,0,0,0,,,0226P,,QN,,,QUEENS BLVD (W/B) @,BROADWAY,40.7431606,-73.8836711,0,1111,D,T,,,,RD,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098107,ECC4244,NY,PAS,01/01/2018,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0225P,,QN,,,EB GRAND CENTRAL PKW,Y SVC RD @ 72ND RD,40.7288282,-73.8394849,0,1111,D,T,,,,RD,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098090,7157M,NC,PAS,01/01/2018,7,MP,BMW,V,0,0,0,0,,0,0,0,,,0224P,,QN,,,23RD AVE (E/B) @ 94T,H ST,47.6286479,-122.3023503,0,1111,D,T,,,,,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098089,E81HTM,NJ,PAS,01/01/2018,7,4 DR,NISSA,V,0,0,0,0,,0,0,0,,,0223P,,BK,,,FLATBUSH AVE (N/B) @,EASTERN PKWY,40.6417053,-73.9564329,0,1111,D,T,,,,SL,,2003,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098077,AJR8739,NY,PAS,01/01/2018,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0222P,,BK,,,WILLIAMSBURG ST (S/B,) @ FLUSHING AVE,38.897187,-77.162273,0,1111,D,T,,,,GY,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098065,BDR3019,NY,PAS,01/01/2018,7,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0221P,,MN,,,12TH AVE (N/B) @ W 5,7TH ST,40.7560399,-74.0028277,0,1111,D,T,,,,GY,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098030,ECL1380,NY,PAS,01/01/2018,7,2DSD,CADIL,V,0,0,0,0,,0,0,0,,,0217P,,QN,,,HORACE HARDING EXPWY,(E/B) @ OCEANIA ST,40.745377,-73.77248449999999,0,1111,D,T,,,,BR,,1981,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098028,AMN6077,NY,PAS,01/01/2018,7,4DSD,HYUND,V,0,15510,0,0,,0,0,0,,,0217P,,BK,,,HAMILTON AVE (N/B) @,CLINTON ST,39.342247,-76.545557,0,1111,D,T,,,,BR,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100098004,8M24B,NY,OMT,01/01/2018,7,TAXI,TOYOT,V,0,0,0,0,,0,0,0,,,0215P,,MN,,,8TH AVE (N/B) @ 57TH,ST,40.7521936,-73.993451,0,1111,D,T,,,,YW,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097980,EAE8249,NY,PAS,01/01/2018,7,4DSD,BMW,V,0,0,0,0,,0,0,0,,,0212P,,BK,,,EB ATLANTIC AVE @ RO,CKAWAY AVE,40.6656369,-73.9096988,0,1111,D,T,,,,BL,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097978,V94FHX,NJ,PAS,01/01/2018,7,4 DR,KIA,V,0,0,0,0,,0,0,0,,,0212P,,BK,,,WB ATLANTIC AVE @ RO,CKAWAY AVE,40.6762846,-73.9079141,0,1111,D,T,,,,WT,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097954,FWH8860,NY,PAS,01/01/2018,7,SUBN,VOLKS,V,0,0,0,0,,0,0,0,,,0210P,,,,,BAY ST (S/B) @ HANNA,H ST,38.9002104,-76.99024469999999,0,1111,D,T,,,,GY,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097942,BKP9488,NY,PAS,01/01/2018,7,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0209P,,ST,,,RICHMOND RD (E/B) @,NEW DORP LANE,40.3756912,-120.6224424,0,1111,D,T,,,,GY,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097930,Z37JFZ,NJ,PAS,01/01/2018,7,WAGO,CHRYS,V,0,0,0,0,,0,0,0,,,0207P,,MN,,,WEST ST (S/B) @ 14TH,STREET,44.6078857,-79.4190249,0,1111,D,T,,,,BLK,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097929,AGP2520,NY,PAS,01/01/2018,7,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0207P,,BX,,,GUN HILL ROAD (E/B),@ EASTCHESTER RD,40.8822384,-73.8801788,0,1111,D,T,,,,WH,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097905,FJT2140,NY,PAS,01/01/2018,7,SUBN,DODGE,V,0,0,0,0,,0,0,0,,,0204P,,BK,,,OCEAN PKWY (N/B) @ A,VE W,40.61287799999999,-73.96838620000001,0,1111,D,T,,,,WH,,2007,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097899,ERG8661,NY,PAS,01/01/2018,7,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0203P,,BX,,,BRUCKNER BLVD (E/B),@ BRONX RIVER PKWY R,40.8239534,-73.87712979999999,0,1111,D,T,,,,BK,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097887,T656345C,NY,OMT,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0202P,,BK,,,OCEAN PKWY (N/B) @ A,VE W,40.61287799999999,-73.96838620000001,0,1111,D,T,,,,BK,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097863,U22HRH,NJ,PAS,01/01/2018,7,4 DR,TESLA,V,0,0,0,0,,0,0,0,,,0158P,,QN,,,NORTHERN BLVD (W/B),@ MARATHON PKWY,39.368462,-76.566901,0,1111,D,T,,,,SL,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097840,FFJ4450,NY,PAS,01/01/2018,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0158P,,BX,,,222ND ST (W/B) @ PAU,LDING AVE,,,0,1111,D,T,,,,GY,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097838,EJZ1252,NY,PAS,01/01/2018,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0157P,,QN,,,BEACH CHANNEL DR (W/,B) @ B 140TH ST,40.5885234,-73.8173535,0,1111,D,T,,,,GR,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097826,DCP5850,NY,PAS,01/01/2018,7,SUBN,CHRYS,V,0,15510,0,0,,0,0,0,,,0157P,,BK,,,HAMILTON AVE (N/B) @,CLINTON ST,39.342247,-76.545557,0,1111,D,T,,,,GY,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097814,FR3363,DC,PAS,01/01/2018,7,UT,PORSC,V,0,0,0,0,,0,0,0,,,0155P,,MN,,,WEST ST (S/B) @ 14TH,STREET,44.6078857,-79.4190249,0,1111,D,T,,,,,,2018,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097802,7ARJJ9,CT,PAS,01/01/2018,7,4W,GMC,V,0,0,0,0,,0,0,0,,,0155P,,BX,,,GUN HILL RD (E/B) @,WHITE PLAINS RD,40.8825876,-73.88132449999999,0,1111,D,T,,,,BLK,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097796,DWD1080,NY,PAS,01/01/2018,7,PICK,TOYOT,V,0,0,0,0,,0,0,0,,,0154P,,QN,,,VAN WYCK EXP SVC RD,(N/B) @ ROCKAWAY BLV,40.652515,-73.806961,0,1111,D,T,,,,GY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097784,EBM8090,NY,PAS,01/01/2018,7,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0153P,,QN,,,WHITESTONE EXPWY SVC,RD (N/B) @ 20TH AVE,40.781917,-73.824456,0,1111,D,T,,,,WH,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097747,T682441C,NY,OMT,01/01/2018,7,SUBN,GMC,V,0,0,0,0,,0,0,0,,,0150P,,BK,,,FLATBUSH AVE (N/B) @,BERGEN ST,40.6417053,-73.9564329,0,1111,D,T,,,,BK,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097723,FWH9825,NY,PAS,01/01/2018,7,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0149P,,QN,,,WHITESTONE EXPWY SVC,RD (N/B) @ 20TH AVE,40.781917,-73.824456,0,1111,D,T,,,,GY,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097711,6DD9434,MD,PAS,01/01/2018,7,TK,NISSA,V,0,0,0,0,,0,0,0,,,0148P,,QN,,,FRANCIS LEWIS BLVD (,N/B) @ HILLSIDE AVE,40.7242617,-73.7641773,0,1111,D,T,,,,,,2018,,0,,FAILURE TO STOP AT RED LIGHT,,,
5100097700,CGGI04,FL,PAS,01/01/2018,7,4D,CHEVR,V,0,0,0,0,,0,0,0,,,0148P,,QN,,,ASTORIA BLVD S (E/B),@ 77TH ST,40.7546377,-73.9747113,0,1111,D,T,,,,GRY,,2017,,0,,FAILURE TO STOP AT RED LIGHT,,,
8587984305,ESF1610,NY,PAS,01/01/2018,71,SUBN,JEEP,T,29090,10010,13113,20190430,25.0,25,25,355156,T103,A,0120P,,NY,F,30,Paladino Ave,,40.7996615,-73.9307111,0,408,j6,,YYYYYYY,,,GR,,1995,,0,C,71A-Insp Sticker Expired (NYS),,,
8587984287,T677601C,NY,OMT,01/01/2018,71,4DSD,NISSA,T,29090,13113,13113,20180630,25.0,25,25,355156,T103,A,0116P,,NY,O,70,Paladino Ave,,40.7981906,-73.93000219999999,0,408,j6,,YYYYYYY,,,BK,,2012,,0,C,71A-Insp Sticker Expired (NYS),,,
8587984251,T685802C,NY,OMT,01/01/2018,71,4DSD,ME/BE,T,19210,10210,10110,20180731,23.0,23,23,355156,T103,A,1243P,,NY,F,229,E 112th St,,33.9331763,-118.2706832,0,408,j6,,YYYYYYY,,,BK,,2012,,0,C,71A-Insp Sticker Expired (NYS),,,
8587984238,APZ3913,NY,PAS,01/01/2018,14,4DSD,CADIL,T,19250,27790,24890,20190731,23.0,23,23,355156,T103,A,1223P,,NY,F,109,E 115th St,,40.79861,-73.9431003,0,408,c,,YYYYYYY,,,BK,,2008,,0,C,14-No Standing,,,
8587984226,CNU8652,NY,PAS,01/01/2018,70,SUBN,HONDA,T,19250,27790,24890,20171231,23.0,23,23,355156,T103,A,1221P,,NY,F,121,E 115th St,,40.7983903,-73.942641,0,408,j3,,YYYYYYY,,,BR,,2010,,0,C,70A-Reg. Sticker Expired (NYS),,,
8587984147,EHM6664,NY,PAS,01/01/2018,71,SUBN,TOYOT,T,18530,45590,14980,20180417,19.0,19,19,355156,T103,A,1127A,,NY,F,500,E 77th St,,40.7696253,-73.9507634,0,408,j6,,YYYYYYY,,,GY,,2011,,0,C,71A-Insp Sticker Expired (NYS),,,
8587984135,351XEY,CT,PAS,01/01/2018,40,SUBN,HONDA,T,18510,45590,16400,88880088,19.0,19,19,355156,T103,A,1120A,,NY,O,520,E 76th St,,40.7687718,-73.95092989999999,0,408,e2,,YYYYYYY,,,GREY,,0,,6,C,40-Fire Hydrant,,,
8587984111,22868MK,NY,COM,01/01/2018,20,VAN,NISSA,T,18490,45590,16400,20190531,19.0,19,19,355156,T103,A,1112A,,NY,O,525,E 75th St,,40.768373,-73.9508381,0,408,d,,YYYYYYY,,,WH,,2015,,0,C,20-No Parking (Com Plate),,,
